"No.","Time","Source","Destination","Protocol","Length","Info"
"680","27.289873000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"681","27.294675000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=327266 Win=382464 Len=0 TSval=282854 TSecr=282686"
"682","27.314284000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"683","27.319284000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=330162 Win=382464 Len=0 TSval=282861 TSecr=282692"
"684","27.338095000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"685","27.344651000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=333058 Win=382464 Len=0 TSval=282867 TSecr=282698"
"686","27.362302000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"687","27.367724000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=335954 Win=382464 Len=0 TSval=282873 TSecr=282704"
"688","27.386508000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"689","27.392114000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=338850 Win=382464 Len=0 TSval=282879 TSecr=282710"
"690","27.410802000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"691","27.415630000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=341746 Win=382464 Len=0 TSval=282885 TSecr=282716"
"692","27.435177000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"693","27.440081000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=344642 Win=382464 Len=0 TSval=282891 TSecr=282722"
"694","27.459624000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"695","27.464641000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=347538 Win=382464 Len=0 TSval=282897 TSecr=282728"
"696","27.483404000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"697","27.488987000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=350434 Win=382464 Len=0 TSval=282903 TSecr=282734"
"698","27.507638000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"699","27.512711000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=353330 Win=382464 Len=0 TSval=282909 TSecr=282740"
"700","27.532112000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"701","27.537239000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=356226 Win=382464 Len=0 TSval=282915 TSecr=282746"
"702","27.556505000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"703","27.561669000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=359122 Win=382464 Len=0 TSval=282921 TSecr=282752"
"704","27.580299000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"705","27.585932000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=362018 Win=382464 Len=0 TSval=282927 TSecr=282759"
"706","27.604523000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"707","27.609778000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=364914 Win=382464 Len=0 TSval=282933 TSecr=282768"
"708","27.628917000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
